,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
96,2023-07-20,261.25421924045605,234.45629279914343,279.6584621632004,261.25421924045605,261.25421924045605,-3.457894806245648,-3.457894806245648,-3.457894806245648,-3.457894806245648,-3.457894806245648,-3.457894806245648,0.0,0.0,0.0,257.7963244342104
97,2023-07-21,261.2076364312901,232.49622199833152,282.65447773534754,261.2076364312901,261.2076364312901,-3.303546150832973,-3.303546150832973,-3.303546150832973,-3.303546150832973,-3.303546150832973,-3.303546150832973,0.0,0.0,0.0,257.9040902804571
98,2023-07-24,261.0678880037923,233.7458384656665,279.2266474741486,261.0678880037923,261.0678880037923,-3.868330562165222,-3.868330562165222,-3.868330562165222,-3.868330562165222,-3.868330562165222,-3.868330562165222,0.0,0.0,0.0,257.19955744162706
99,2023-07-25,261.0213051946264,236.3447872789369,283.0494652309404,261.0213051946264,261.0213051946264,-1.5023517545577338,-1.5023517545577338,-1.5023517545577338,-1.5023517545577338,-1.5023517545577338,-1.5023517545577338,0.0,0.0,0.0,259.5189534400687
100,2023-07-26,260.97472238546044,234.6030545356345,282.70206038928296,260.97472238546044,260.97472238546044,-2.408892027519419,-2.408892027519419,-2.408892027519419,-2.408892027519419,-2.408892027519419,-2.408892027519419,0.0,0.0,0.0,258.565830357941
101,2023-07-27,260.9281395762945,234.28996497295483,281.0503858700184,260.9281395762945,260.9281395762945,-3.4578948062425074,-3.4578948062425074,-3.4578948062425074,-3.4578948062425074,-3.4578948062425074,-3.4578948062425074,0.0,0.0,0.0,257.470244770052
102,2023-07-28,260.8815567671286,233.05881816978885,279.9921498424862,260.8815567671286,260.8815567671286,-3.3035461508242716,-3.3035461508242716,-3.3035461508242716,-3.3035461508242716,-3.3035461508242716,-3.3035461508242716,0.0,0.0,0.0,257.5780106163043
103,2023-07-31,260.7418083396308,231.9039373216177,279.6349835216106,260.7418083396308,260.7418083396308,-3.8683305621716157,-3.8683305621716157,-3.8683305621716157,-3.8683305621716157,-3.8683305621716157,-3.8683305621716157,0.0,0.0,0.0,256.8734777774592
104,2023-08-01,260.6952255304648,236.33713855655813,283.3776819943088,260.6952255304648,260.6952255304648,-1.5023517545570115,-1.5023517545570115,-1.5023517545570115,-1.5023517545570115,-1.5023517545570115,-1.5023517545570115,0.0,0.0,0.0,259.1928737759078
105,2023-08-02,260.49003981299586,235.0309813383474,280.9734903325076,260.49003981299586,260.49003981299586,-2.408892027517122,-2.408892027517122,-2.408892027517122,-2.408892027517122,-2.408892027517122,-2.408892027517122,0.0,0.0,0.0,258.0811477854787
106,2023-08-03,260.2848540955269,232.37966252828326,281.0794165652553,260.2848540955269,260.2848540955269,-3.4578948062543846,-3.4578948062543846,-3.4578948062543846,-3.4578948062543846,-3.4578948062543846,-3.4578948062543846,0.0,0.0,0.0,256.8269592892725
107,2023-08-04,260.0796683780579,233.77106752551535,280.4914970374584,260.0796683780579,260.0796683780579,-3.3035461508498893,-3.3035461508498893,-3.3035461508498893,-3.3035461508498893,-3.3035461508498893,-3.3035461508498893,0.0,0.0,0.0,256.77612222720796
